1	-618.556
2	-777.45
3	-952.24
4	-1082.22
5	-1155.16
6	-1181.2
7	-1176.71
8	-1156.25
9	-1129.84
10	-1103.09
11	-1078.4
12	-1056.27
13	-1036.29
14	-1017.84
15	-1000.33
16	-983.379
17	-966.75
18	-950.346
19	-934.141
20	-918.145
21	-902.379
22	-886.859
23	-871.596
24	-856.594
25	-841.852
26	-827.367
27	-813.134
28	-799.148
29	-785.403
30	-771.895
31	-758.619
32	-745.571
33	-732.748
34	-720.145
35	-707.759
36	-695.586
37	-683.623
38	-671.865
39	-660.309
40	-648.952
41	-637.79
42	-626.821
43	-616.04
44	-605.444
45	-595.031
46	-584.797
47	-574.739
48	-564.853
49	-555.138
50	-545.59
51	-536.206
52	-526.984
53	-517.92
54	-509.012
55	-500.257
56	-491.653
57	-483.197
58	-474.886
59	-466.719
60	-458.691
61	-450.802
62	-443.049
63	-435.428
64	-427.939
65	-420.579
66	-413.345
67	-406.236
68	-399.249
69	-392.382
70	-385.633
71	-379.001
72	-372.482
73	-366.076
74	-359.779
75	-353.591
76	-347.51
77	-341.533
78	-335.659
79	-329.885
80	-324.212
81	-318.635
82	-313.155
83	-307.769
84	-302.475
85	-297.273
86	-292.16
87	-287.135
88	-282.197
89	-277.343
90	-272.573
91	-267.885
92	-263.277
93	-258.749
94	-254.299
95	-249.925
96	-245.626
97	-241.402
98	-237.25
99	-233.169
100	-229.159
101	-225.217
102	-221.344
103	-217.537
104	-213.795
105	-210.118
106	-206.504
107	-202.952
108	-199.462
109	-196.031
110	-192.66
111	-189.346
112	-186.089
113	-182.889
114	-179.743
115	-176.652
116	-173.613
117	-170.627
118	-167.693
119	-164.808
120	-161.974
121	-159.188
122	-156.45
123	-153.759
124	-151.114
125	-148.515
126	-145.961
127	-143.451
128	-140.983
129	-138.558
130	-136.175
131	-133.833
132	-131.531
133	-129.269
134	-127.046
135	-124.861
136	-122.713
137	-120.602
138	-118.528
139	-116.49
140	-114.486
141	-112.517
142	-110.582
143	-108.68
144	-106.811
145	-104.973
146	-103.168
147	-101.394
148	-99.6496
149	-97.9357
150	-96.2513
151	-94.5958
152	-92.9688
153	-91.3698
154	-89.7983
155	-88.2538
156	-86.7359
157	-85.2441
158	-83.7779
159	-82.337
160	-80.9208
161	-79.529
162	-78.1612
163	-76.8169
164	-75.4957
165	-74.1972
166	-72.921
167	-71.6668
168	-70.4342
169	-69.2228
170	-68.0322
171	-66.8621
172	-65.7121
173	-64.5819
174	-63.4711
175	-62.3794
176	-61.3065
177	-60.2521
178	-59.2158
179	-58.1973
180	-57.1963
181	-56.2126
182	-55.2458
183	-54.2956
184	-53.3617
185	-52.4439
186	-51.5419
187	-50.6554
188	-49.7842
189	-48.9279
190	-48.0864
191	-47.2593
192	-46.4465
193	-45.6477
194	-44.8625
195	-44.0909
196	-43.3326
197	-42.5873
198	-41.8548
199	-41.1349
200	-40.4274
201	-39.7321
202	-39.0487
203	-38.3771
204	-37.7171
205	-37.0683
206	-36.4308
207	-35.8042
208	-35.1884
209	-34.5832
210	-33.9884
211	-33.4038
212	-32.8293
213	-32.2646
214	-31.7097
215	-31.1643
216	-30.6283
217	-30.1015
218	-29.5838
219	-29.0749
220	-28.5749
221	-28.0834
222	-27.6004
223	-27.1257
224	-26.6591
225	-26.2006
226	-25.75
227	-25.3071
228	-24.8718
229	-24.444
230	-24.0236
231	-23.6104
232	-23.2043
233	-22.8052
234	-22.413
235	-22.0275
236	-21.6486
237	-21.2763
238	-20.9103
239	-20.5507
240	-20.1972
241	-19.8499
242	-19.5085
243	-19.1729
244	-18.8432
245	-18.5191
246	-18.2005
247	-17.8875
248	-17.5799
249	-17.2775
250	-16.9803
251	-16.6883
252	-16.4012
253	-16.1192
254	-15.8419
255	-15.5694
256	-15.3017
257	-15.0385
258	-14.7798
259	-14.5256
260	-14.2758
261	-14.0302
262	-13.7889
263	-13.5518
264	-13.3187
265	-13.0896
266	-12.8645
267	-12.6432
268	-12.4258
269	-12.212
270	-12.002
271	-11.7956
272	-11.5927
273	-11.3933
274	-11.1974
275	-11.0048
276	-10.8155
277	-10.6295
278	-10.4467
279	-10.267
280	-10.0904
281	-9.91684
282	-9.74627
283	-9.57864
284	-9.4139
285	-9.25198
286	-9.09285
287	-8.93646
288	-8.78276
289	-8.6317
290	-8.48324
291	-8.33733
292	-8.19394
293	-8.05301
294	-7.9145
295	-7.77837
296	-7.64459
297	-7.51311
298	-7.38389
299	-7.25689
300	-7.13207
301	-7.0094
302	-6.88885
303	-6.77036
304	-6.65392
305	-6.53947
306	-6.427
307	-6.31646
308	-6.20782
309	-6.10105
310	-5.99611
311	-5.89298
312	-5.79163
313	-5.69201
314	-5.59411
315	-5.4979
316	-5.40334
317	-5.3104
318	-5.21907
319	-5.1293
320	-5.04108
